architecture,compiler,optimization,label,num_basic_blocks,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,instruction_count,immediate_entropy,bitwise_op_density,table_lookup_presence,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count
mips,gcc,O0,SHA-256,1,2,0,0,0.0,53.0,53,1.6310393391151106,0.1304347826086956,1,86,0.0,0.2318840579710145,0.0869565217391304,0.1956521739130435,0.0,0.0,0.0434782608695652,1,1,0,0,1,0,40,18,6,32,0.1956521739130435,5.039020906894308,2.331613724095634,0.0377358490566037,24
mips,gcc,O0,SHA-256,3,2,0,0,0.0,10.333333333333334,31,1.101938481798442,0.0886243386243386,1,54,0.3333333333333333,0.25,0.0434782608695652,0.2065217391304347,0.0,0.0,0.0,1,1,0,0,0,0,32,4,0,23,0.2065217391304347,4.143410177262415,2.046687960953605,0.064516129032258,20
mips,gcc,O0,SHA-256,1,225,224,224,1.0,3736.0,3736,1.613993860495696,0.1660030627871363,1,5992,0.0,0.224400204185809,0.1258805513016845,0.1679428279734558,0.0318529862174578,0.0,0.0082695252679938,1,1,0,0,224,0,128,1314,393,2198,0.1679428279734558,4.490773334061916,2.162435825490824,0.0602248394004282,36
mips,gcc,O0,SHA-256,6,4,1,1,0.125,7.0,42,1.1192005443421071,0.0514249155237527,1,70,0.5,0.2293577981651376,0.0642201834862385,0.1834862385321101,0.0,0.0,0.0091743119266055,1,1,0,0,1,0,40,8,1,25,0.1834862385321101,4.515790989209469,2.284440677941432,0.0952380952380952,27
mips,gcc,O0,SHA-256,20,21,7,7,0.1794871794871795,9.6,192,1.0111377404003952,0.0537241883290401,1,346,0.4615384615384615,0.2231075697211155,0.0597609561752988,0.1852589641434263,0.0,0.0,0.0019920318725099,1,1,0,0,9,0,48,31,1,114,0.1852589641434263,4.367124470021008,2.1758163066635543,0.109375,50
mips,gcc,O0,SHA-256,5,6,1,1,0.1111111111111111,11.2,56,1.1707476296377606,0.0947946859903381,1,84,0.4444444444444444,0.2260869565217391,0.1304347826086956,0.1478260869565217,0.0,0.0,0.008695652173913,1,1,0,0,3,0,56,16,1,26,0.1478260869565217,4.510301326244813,2.418645003566066,0.1071428571428571,33
mips,gcc,O0,SHA-256,13,18,6,6,0.2068965517241379,16.076923076923077,209,1.0902362261664804,0.0428533795469279,1,330,0.3103448275862069,0.2286821705426356,0.0813953488372093,0.1763565891472868,0.0,0.0,0.0077519379844961,1,1,0,0,11,0,40,46,4,120,0.1763565891472868,4.4300760976954905,2.2096082245281665,0.0861244019138756,50
mips,gcc,O0,SHA-256,1,2,1,1,1.0,23.0,23,1.5754545690081685,0.1525423728813559,1,44,0.0,0.2203389830508474,0.135593220338983,0.1525423728813559,0.0,0.0,0.0169491525423728,1,1,0,0,1,0,32,9,1,13,0.1525423728813559,4.57968639558722,2.2877732295536264,0.0869565217391304,18
mips,gcc,O0,SHA-256,1,1,0,0,0.0,9.0,9,1.301569477379927,0.1818181818181818,1,16,0.0,0.2272727272727272,0.1818181818181818,0.1363636363636363,0.0,0.0,0.0,1,1,0,0,0,0,20,4,0,5,0.1363636363636363,3.779950000961541,2.362205914663769,0.1111111111111111,7
mips,gcc,O0,SHA-256,7,6,1,1,0.0909090909090909,6.714285714285714,47,1.1622327617741586,0.0758374689826302,1,78,0.4545454545454545,0.2136752136752136,0.1025641025641025,0.1623931623931624,0.0,0.0,0.0085470085470085,1,1,0,0,2,0,136,13,1,25,0.1623931623931624,4.45274276236028,2.318940266915893,0.1276595744680851,28
