has_aes_sbox,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,instruction_count,immediate_entropy,bitwise_op_density,table_lookup_presence,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,rotate_ratio,num_conditional_edges,num_unconditional_edges,rodata_refs_count,stack_frame_size,bitwise_ops,arithmetic_ops,cyclomatic_complexity_density,architecture_arm32,architecture_arm64,architecture_avr,architecture_mips,architecture_riscv,architecture_x86,compiler_gcc,optimization_O0,optimization_O1,optimization_O2,optimization_O3,optimization_Os,label
1,7,11,6,1,1,0.0909090909090909,6.714285714285714,2,9,47,1.1622327617741586,0.0758374689826302,1,78,0.4545454545454545,0.2136752136752136,0.1025641025641025,0.1623931623931624,0.0,0.0085470085470085,3,8,2,136,13,25,0.1276595744680851,False,False,False,True,False,False,True,True,False,False,False,False,SHA-256
1,5,7,4,0,0,0.0,7.0,1,6,35,1.14009883143931,0.0572619047619047,1,52,0.1428571428571428,0.2289156626506024,0.0602409638554216,0.180722891566265,0.0,0.0120481927710843,2,5,1,40,6,19,0.1142857142857142,False,False,False,True,False,False,True,True,False,False,False,False,SHA-256
1,20,24,6,2,2,0.0833333333333333,2.55,1,24,51,0.8259481135556097,0.0444444444444444,1,36,0.0,0.2456140350877192,0.0350877192982456,0.1491228070175438,0.0,0.0350877192982456,1,23,0,104,8,28,0.1176470588235294,False,False,False,False,True,False,True,False,True,False,False,False,SHA-256
1,6,8,4,0,0,0.0,7.333333333333333,2,7,44,1.1299334401270045,0.2188041125541125,1,82,0.5,0.2454545454545454,0.0727272727272727,0.1909090909090909,0.0,0.009090909090909,2,6,4,48,9,27,0.0909090909090909,False,False,False,True,False,False,True,True,False,False,False,False,SHA-256
1,3,2,1,0,0,0.0,2.0,3,3,6,0.7927933205220358,0.1118881118881118,1,30,0.0,0.0384615384615384,0.1538461538461538,0.0384615384615384,0.0,0.0,1,1,0,0,4,1,0.1666666666666666,True,False,False,False,False,False,True,False,True,False,False,False,SHA-256
1,3,2,1,0,0,0.0,2.0,3,3,6,0.8459047184698489,0.1118881118881118,1,28,0.0,0.0384615384615384,0.1538461538461538,0.0384615384615384,0.0,0.0,1,1,0,0,4,1,0.1666666666666666,True,False,False,False,False,False,True,False,True,False,False,False,SHA-256
1,3,2,1,0,0,0.0,1.6666666666666667,3,3,5,0.9407722958904484,0.1439393939393939,1,20,0.0,0.0476190476190476,0.1904761904761904,0.0476190476190476,0.0,0.0,1,1,0,0,4,1,0.2,True,False,False,False,False,False,True,False,True,False,False,False,SHA-256
1,3,2,1,0,0,0.0,1.6666666666666667,3,3,5,1.008962047584724,0.1439393939393939,1,18,0.0,0.0476190476190476,0.1904761904761904,0.0476190476190476,0.0,0.0,1,1,0,0,4,1,0.2,True,False,False,False,False,False,True,False,True,False,False,False,SHA-256
1,1,224,225,0,0,0.0,4180.0,0,2,4180,2.041826845631584,0.2389089198934002,1,12288,0.0,0.126587239379213,0.1237654804828343,0.0537309923185452,0.1051105188901081,0.0100329205204577,0,224,0,4,3414,4275,0.0538277511961722,False,False,True,False,False,False,True,False,False,True,False,False,SHA-256
1,6,7,3,1,1,0.1428571428571428,10.333333333333334,2,6,62,1.4062827359726895,0.0802139037433155,1,164,0.2857142857142857,0.078853046594982,0.075268817204301,0.086021505376344,0.068100358422939,0.0,2,5,0,4,21,39,0.0483870967741935,False,False,True,False,False,False,True,False,False,True,False,False,SHA-256
1,23,37,16,6,6,0.1621621621621621,8.826086956521738,1,26,203,0.9799156738212222,0.087994927536439,1,478,0.7297297297297297,0.1187363834422658,0.0762527233115468,0.0762527233115468,0.0642701525054466,0.0108932461873638,8,29,0,4,80,161,0.0788177339901477,False,False,True,False,False,False,True,False,False,True,False,False,SHA-256
1,9,15,8,3,3,0.2,5.333333333333333,2,12,48,1.2045083059841937,0.0870439186864307,1,116,0.5333333333333333,0.0814814814814814,0.0592592592592592,0.1333333333333333,0.0444444444444444,0.0222222222222222,4,11,0,4,11,28,0.1666666666666666,False,False,True,False,False,False,True,False,False,True,False,False,SHA-256
1,26,32,8,2,2,0.0625,2.1538461538461537,1,31,56,0.7858666743369902,0.0402777777777777,1,50,0.0,0.2258064516129032,0.0403225806451612,0.1290322580645161,0.0,0.0403225806451612,2,30,0,104,10,28,0.1428571428571428,False,False,False,False,True,False,True,False,False,True,False,False,SHA-256
1,1,2,3,0,0,0.0,12.0,1,3,12,1.5290161342862552,0.1052631578947368,1,32,0.0,0.087719298245614,0.1052631578947368,0.175438596491228,0.0,0.0,0,2,0,8,6,13,0.25,False,False,False,False,False,True,True,False,False,False,True,False,SHA-256
1,1,2,3,0,0,0.0,12.0,1,3,12,1.514130297140216,0.1052631578947368,1,32,0.0,0.087719298245614,0.1052631578947368,0.175438596491228,0.0,0.0,0,2,0,8,6,13,0.25,False,False,False,False,False,True,True,False,False,False,True,False,SHA-256
